J,n,gateless_mean,gateless_p95,gated_mean,gated_p95,gated_shut_frac
30,100,0.02467,0.20000,0.01800,0.20000,0.333
30,150,0.00467,0.02000,0.00000,0.00000,0.367
30,200,0.00250,0.01000,0.00167,0.00000,0.133
30,300,0.00733,0.05000,0.00444,0.05000,0.300
30,500,0.01013,0.08800,0.00787,0.08800,0.333
30,1000,0.00397,0.02500,0.00240,0.02500,0.367
48,100,0.02933,0.13000,0.02000,0.13000,0.333
48,150,0.01844,0.09333,0.00867,0.09333,0.367
48,200,0.00350,0.03000,0.00000,0.00000,0.167
48,300,0.01278,0.04000,0.00567,0.04000,0.500
48,500,0.00387,0.02000,0.00127,0.00000,0.400
48,1000,0.00333,0.01300,0.00123,0.00400,0.467
60,100,0.03700,0.16000,0.01767,0.16000,0.500
60,150,0.01956,0.15333,0.01222,0.15333,0.367
60,200,0.01433,0.07000,0.00850,0.07000,0.333
60,300,0.01644,0.11667,0.01111,0.11667,0.533
60,500,0.01387,0.06400,0.01007,0.06400,0.367
60,1000,0.00633,0.02400,0.00297,0.02400,0.633
90,100,0.06200,0.24000,0.04667,0.24000,0.467
90,150,0.02489,0.14000,0.01556,0.14000,0.433
90,200,0.03167,0.12000,0.02500,0.12000,0.433
90,300,0.02056,0.13333,0.01600,0.13333,0.367
90,500,0.01267,0.06600,0.00760,0.06600,0.367
90,1000,0.00647,0.04800,0.00360,0.04800,0.567
120,100,0.03800,0.15000,0.02767,0.15000,0.400
120,150,0.02556,0.10667,0.01889,0.10667,0.400
120,200,0.01183,0.05000,0.00400,0.05000,0.433
120,300,0.01478,0.08333,0.00844,0.08333,0.367
120,500,0.01593,0.06800,0.01040,0.06800,0.533
120,1000,0.00527,0.02300,0.00157,0.02300,0.567
180,100,0.05433,0.19000,0.04333,0.19000,0.333
180,150,0.03111,0.15333,0.02089,0.15333,0.433
180,200,0.02550,0.12000,0.01783,0.12000,0.433
180,300,0.00744,0.03333,0.00133,0.00000,0.567
180,500,0.01347,0.09200,0.00853,0.09200,0.467
180,1000,0.01033,0.06500,0.00697,0.06500,0.467
240,100,0.03033,0.17000,0.02367,0.17000,0.233
240,150,0.03044,0.12000,0.01911,0.12000,0.600
240,200,0.02867,0.07500,0.02333,0.07500,0.300
240,300,0.01378,0.06333,0.00744,0.06333,0.400
240,500,0.01673,0.06800,0.01180,0.06800,0.467
240,1000,0.01237,0.04000,0.00820,0.04000,0.633
300,100,0.03933,0.13000,0.02367,0.13000,0.567
300,150,0.03578,0.11333,0.02667,0.11333,0.400
300,200,0.02150,0.09500,0.01333,0.09500,0.533
300,300,0.01889,0.09000,0.00900,0.09000,0.633
300,500,0.01433,0.05200,0.01000,0.05200,0.467
300,1000,0.01220,0.03700,0.00767,0.03700,0.633
